id,text,text_preprocessed,label,label_name
2381,"Torii Hunter, 22nd among Box-Toppers' ""big dippers,"" drops 8.0 B-T pts from '15. He retired from #Twins after '15—https://t.co/K8TrAchsjE","Torii Hunter, 22nd among Box-Toppers' ""big dippers,"" drops 8.0 B-T pts from '15. He retired from #Twins after '15—https://t.co/K8TrAchsjE",1,neutral
2456,"Millions agree w/ Paul Nehlen, Newt, Mike Huckabee, Sean Hannity- #NeverRomney! Reject ROMNEY! @user","Millions agree w/ Paul Nehlen, Newt, Mike Huckabee, Sean Hannity- #NeverRomney! Reject ROMNEY! @user",0,negative
2775,"Melania Trump sues Daily Mail, blogger over 'defamatory' stories via @user","Melania Trump sues Daily Mail, blogger over 'defamatory' stories via @user",1,neutral
2782,@user I know you limousine liberals love him. We hate him. JFK should've provided air support during the Bay of Pigs invasion.,@user I know you limousine liberals love him. We hate him. JFK should've provided air support during the Bay of Pigs invasion.,0,negative
2942,"@user Obama Admin: Feds hope to drill Arctic Ocean, despite climate change, oil spill risks","@user Obama Admin: Feds hope to drill Arctic Ocean, despite climate change, oil spill risks",0,negative
3382,@user @user @user @user Hmm... good to know.,@user @user @user @user Hmm... good to know.,2,positive
3540,#Rambo watching more #znation #netflixuk #thewalkingdead #zombies #residentevil,#Rambo watching more #znation #netflixuk #thewalkingdead #zombies #residentevil,1,neutral
3833,Well sorry Obama and Dems-there's a new Sheriff in town and he won't allow that stupid crap! #TrumpsTheMan,Well sorry Obama and Dems-there's a new Sheriff in town and he won't allow that stupid crap! #TrumpsTheMan,1,neutral
3991,Poroshenko Sure Trump Will Not Change US Policy on Ukraine,Poroshenko Sure Trump Will Not Change US Policy on Ukraine,1,neutral
4048,"Have an article to write, notes to re-organize & a house to clean, yet all I want to do is read all day. And maybe go see #FantasticBeasts.","Have an article to write, notes to re-organize & a house to clean, yet all I want to do is read all day. And maybe go see #FantasticBeasts.",2,positive
4335,"#ISIS claims Iraq car-bombing, at least 73 killed.","#ISIS claims Iraq car-bombing, at least 73 killed.",1,neutral
4453,George Soros has a knack for manipulating outcomes:https://t.co/2uXHDUNanj,George Soros has a knack for manipulating outcomes:https://t.co/2uXHDUNanj,0,negative
4490,@user @user I hear there is alot of bad hombres in Houston,@user @user I hear there is alot of bad hombres in Houston,0,negative
4525,"@user @user In #SRAmyth there's a circular connection twixt Fundies & Atheists, Feminists & Fundies, Leftists & Rightists.","@user @user In #SRAmyth there's a circular connection twixt Fundies & Atheists, Feminists & Fundies, Leftists & Rightists.",1,neutral
4538,"Obama Admin Evicting #StandingRock #WaterProtectors, As Veterans Are Set To Arrive. #VeteranStandingRock 🇺🇸 #NoDAPL","Obama Admin Evicting #StandingRock #WaterProtectors, As Veterans Are Set To Arrive. #VeteranStandingRock 🇺🇸 #NoDAPL",1,neutral
4757,"Election of Dr Hélène RENOUX as Chairman of the European Committee of Homeopathy, on 20 Nov 2016. The entire FMRC t…","Election of Dr Hélène RENOUX as Chairman of the European Committee of Homeopathy, on 20 Nov 2016. The entire FMRC t…",1,neutral
4913,"Overt #KremlinTrolls will ReTweet covert ones who bash #Ukraine, to advance the Kremlin narrative. Subtle it is not.","Overt #KremlinTrolls will ReTweet covert ones who bash #Ukraine, to advance the Kremlin narrative. Subtle it is not.",0,negative
5032,"@user @user @user @user Reagan wasnt for gun control then he saw some Blk Panthers with guns,then he was forit","@user @user @user @user Reagan wasnt for gun control then he saw some Blk Panthers with guns,then he was forit",0,negative
5278,Did you ever imagine that? :),Did you ever imagine that? :),2,positive
5342,"Just as speculations arose that he could be the next HUD secretary, Ben Carson said this about inner cities","Just as speculations arose that he could be the next HUD secretary, Ben Carson said this about inner cities",1,neutral
5349,"@user please, Mr. Trump, find a spot in your cabinet for the fantastic Trey Gowdy!","@user please, Mr. Trump, find a spot in your cabinet for the fantastic Trey Gowdy!",1,neutral
5362,@user @user @user @user  @user @user TAKE A LOOK AT YOURSELVES!!,@user @user @user @user  @user @user TAKE A LOOK AT YOURSELVES!!,1,neutral
5415,Forbes Welcomehttps://t.co/WqplQX2Na8,Forbes Welcomehttps://t.co/WqplQX2Na8,2,positive
5451,@user Actually code for Nazi.,@user Actually code for Nazi.,0,negative
5496,Any comment? @user @user  #Syria #Aleppo #WhiteHelmets #Tories #Labour #Iraq #Libya @user,Any comment? @user @user  #Syria #Aleppo #WhiteHelmets #Tories #Labour #Iraq #Libya @user,1,neutral
5502,"@user @user @user  @user @user speaking of FBI, any word about Huma's email that Comey just had to write about?","@user @user @user  @user @user speaking of FBI, any word about Huma's email that Comey just had to write about?",1,neutral
5674,"@user @user Barack Obama said he wanted smooth transition,too bad.we as a ppl know Trump lost & had outside help","@user @user Barack Obama said he wanted smooth transition,too bad.we as a ppl know Trump lost & had outside help",0,negative
5711,CA has way too many imbeciles - via @user,CA has way too many imbeciles - via @user,0,negative
5753,Cinema tonight to watch @user 😄😄 in the mean time reading a book about free software licensing…,Cinema tonight to watch @user 😄😄 in the mean time reading a book about free software licensing…,2,positive
5832,Mr Trump you may #DrainTheSwamp but the scum will reappear on the surface when fresh water replaces it.#Merica,Mr Trump you may #DrainTheSwamp but the scum will reappear on the surface when fresh water replaces it.#Merica,0,negative
6092,She helped @user and the DNC steal the #DemocraticNomination from @user #NancyPelosi Fights,She helped @user and the DNC steal the #DemocraticNomination from @user #NancyPelosi Fights,0,negative
6106,@user @user @user @user There are no innocent Pals. They are all taught to hate and kill. #IS #Hamas #terrorists,@user @user @user @user There are no innocent Pals. They are all taught to hate and kill. #IS #Hamas #terrorists,0,negative
6261,@user @user Meet George Soros - I would LOVE to hear your thoughts on this clip - pm me,@user @user Meet George Soros - I would LOVE to hear your thoughts on this clip - pm me,2,positive
6420,@user *grayson allen,@user *grayson allen,1,neutral
6661,@user Verlander is over the hill with ridiculous contract. Trade for Sale,@user Verlander is over the hill with ridiculous contract. Trade for Sale,0,negative
6690,@user From a UK perspective this is a worrying development as the US has always been the gold standard for freedom of speech.,@user From a UK perspective this is a worrying development as the US has always been the gold standard for freedom of speech.,1,neutral
6775,"XYZprinting Nobel 1.0 SLA 3D Printer (Included FREE Resin, FREE Printing... - #3D #Design","XYZprinting Nobel 1.0 SLA 3D Printer (Included FREE Resin, FREE Printing... - #3D #Design",1,neutral
6922,"@user @user I'll look for it next time I'm in Myer! The animal testing thing shits me up the wall. Just say no to China, FFS.","@user @user I'll look for it next time I'm in Myer! The animal testing thing shits me up the wall. Just say no to China, FFS.",0,negative
7721,Wow!What an eye opening piece written by Niraj Srivastava.Tony Blair for #Iraq & David Cameron for #Libya 🇱🇾 have l…,Wow!What an eye opening piece written by Niraj Srivastava.Tony Blair for #Iraq & David Cameron for #Libya 🇱🇾 have l…,2,positive
7726,Ahhhh i want this cake 😍 #bestdisneyfilm #taleasoldastime #BeautyAndTheBeast,Ahhhh i want this cake 😍 #bestdisneyfilm #taleasoldastime #BeautyAndTheBeast,2,positive
7821,@user not wasting ridiculous amounts of taxpayer money on a witch hunt is my gold standard.  #publicityStunt,@user not wasting ridiculous amounts of taxpayer money on a witch hunt is my gold standard.  #publicityStunt,1,neutral
7861,"I come alive in the fall time 😨Coffee and Sniped Photo cred: mom @ Tipp City, Ohio","I come alive in the fall time 😨Coffee and Sniped Photo cred: mom @ Tipp City, Ohio",1,neutral
7977,@user @user thing is that she didn't raise it:george soros fronted the money. Soros and illuminati trying to destroy the USA.,@user @user thing is that she didn't raise it:george soros fronted the money. Soros and illuminati trying to destroy the USA.,0,negative
8214,@user    Go get em girl!!!!   👊🏽,@user    Go get em girl!!!!   👊🏽,2,positive
8292,#USA spottd 3m long rockets leavng #Iran 2 #Gaza &made #Israel strike it@seaLet 12m long ones arrive #Houthi #Yemenhttps://t.co/KPbV8xm5Nn,#USA spottd 3m long rockets leavng #Iran 2 #Gaza &made #Israel strike it@seaLet 12m long ones arrive #Houthi #Yemenhttps://t.co/KPbV8xm5Nn,1,neutral
8363,HILL YES!!  #ImWithHer  #TrumpNeverAnyone'sPresident #UniteBlue,HILL YES!!  #ImWithHer  #TrumpNeverAnyone'sPresident #UniteBlue,1,neutral
8382,"BUY medical marijuana, CANNABIS OIL,moon rocks AND SEEDS AT VERY GOOD PRICES","BUY medical marijuana, CANNABIS OIL,moon rocks AND SEEDS AT VERY GOOD PRICES",1,neutral
8415,Abbreviated pundit roundup: Trump packs cabinet with the megarich,Abbreviated pundit roundup: Trump packs cabinet with the megarich,0,negative
8502,#Turkey #Yemen British ex-PMs raise possibility of new Brexit vote,#Turkey #Yemen British ex-PMs raise possibility of new Brexit vote,1,neutral
8565,Maarvi and I are having a Zac Efron vs Ashley Tisdale on the Suite Life moment minus the kiss,Maarvi and I are having a Zac Efron vs Ashley Tisdale on the Suite Life moment minus the kiss,1,neutral
8592,@user no trial needed. He's guilty so death penalty for him,@user no trial needed. He's guilty so death penalty for him,0,negative
8752,Whatthefuck Liam OMG #liampayne #onedirection #hot #sixpack #leeyum #ily #king #lifesaver…,Whatthefuck Liam OMG #liampayne #onedirection #hot #sixpack #leeyum #ily #king #lifesaver…,0,negative
8973,"@user After the privatize medicare, SS cut medicaid and roll back workers, women, POC, environmental protection and taxes. Also war","@user After the privatize medicare, SS cut medicaid and roll back workers, women, POC, environmental protection and taxes. Also war",0,negative
9101,Grayson Allen is good. I think he can pay next level. 2nd round.,Grayson Allen is good. I think he can pay next level. 2nd round.,2,positive
9120,.@elizabethforma You need to be aware of the ways Keith Ellison will destroy the party if selected to chair the DNC,.@elizabethforma You need to be aware of the ways Keith Ellison will destroy the party if selected to chair the DNC,0,negative
9268,"Assessment on 2016: So far so good. Naipasa natin ang Budget on time for the first time. Hopefully next, maipasa na  ang death penalty.","Assessment on 2016: So far so good. Naipasa natin ang Budget on time for the first time. Hopefully next, maipasa na  ang death penalty.",1,neutral
9284,@user You've been quoted in my Storify story “The Overview Effect and the Wonders of #GoogleEarthVR”,@user You've been quoted in my Storify story “The Overview Effect and the Wonders of #GoogleEarthVR”,2,positive
9297,Combine these results with documented Russian interference and Comey testified voting systems hacked #AuditTheVote,Combine these results with documented Russian interference and Comey testified voting systems hacked #AuditTheVote,1,neutral
9423,It's on! > UPDATE: Stein Will Pay For Presidential Recount #Recount2016 #wiunion #UniteBlue,It's on! > UPDATE: Stein Will Pay For Presidential Recount #Recount2016 #wiunion #UniteBlue,1,neutral
9431,@user POPULAR VOTE OVER 2MILLION.+STILL.COUNTINGVOTED CLINTON TO BE PRESIDENT..WE  DID NOT !!VOTE FOR TRUMP  HE JEOPARDIZES DEMOCRACY!!!!!,@user POPULAR VOTE OVER 2MILLION.+STILL.COUNTINGVOTED CLINTON TO BE PRESIDENT..WE  DID NOT !!VOTE FOR TRUMP  HE JEOPARDIZES DEMOCRACY!!!!!,1,neutral
9522,"List of people who died in 2016 : Prince, Tommy, Muhammad Ali, Fidel Castro, The guy who invented the Big Mac, my hope for humanity","List of people who died in 2016 : Prince, Tommy, Muhammad Ali, Fidel Castro, The guy who invented the Big Mac, my hope for humanity",1,neutral
9542,TPP meaningless without America according to Shinzo Abe - PM of Japan.,TPP meaningless without America according to Shinzo Abe - PM of Japan.,0,negative
9589,I know people got all up in arms about Porcello winning the Cy Young over Verlander but I think Britton should have won it.,I know people got all up in arms about Porcello winning the Cy Young over Verlander but I think Britton should have won it.,1,neutral
9751,"Donald duck ,I mean to say,not my President. He's a hippocrite.He don't believe in Jesus,and he's a perpetrator.Wise up electoral college","Donald duck ,I mean to say,not my President. He's a hippocrite.He don't believe in Jesus,and he's a perpetrator.Wise up electoral college",0,negative
9879,Team wallpaper. [@Ronit_Gfx] #FCBlive,Team wallpaper. [@Ronit_Gfx] #FCBlive,1,neutral
10047,Superb account of how Obama is responding to the election and the transition aheadhttps://t.co/i6YP6Ol8SY via @user,Superb account of how Obama is responding to the election and the transition aheadhttps://t.co/i6YP6Ol8SY via @user,2,positive
10115,vaccines cows power point PPT Slides -  #vaccines #cows #power #point,vaccines cows power point PPT Slides -  #vaccines #cows #power #point,1,neutral
10215,@user He sits with a clear and clean soul at the apple garden in Heaven learning about the future of deep Grace with angels..,@user He sits with a clear and clean soul at the apple garden in Heaven learning about the future of deep Grace with angels..,1,neutral
10247,"@user but that has nothing to do with Obamacare, It's due to Republicans that refused to fund & participate in it. Blame them...","@user but that has nothing to do with Obamacare, It's due to Republicans that refused to fund & participate in it. Blame them...",0,negative
10333,"i just drew up the euthanasia for my coworker's cat, i feel like a horrible person","i just drew up the euthanasia for my coworker's cat, i feel like a horrible person",0,negative
10466,The new Ukip leader wants to bring back the death penalty,The new Ukip leader wants to bring back the death penalty,1,neutral
10489,Fracking in Fermanagh: Council plan ‘too weak’ on fracking (From Impartial Reporter),Fracking in Fermanagh: Council plan ‘too weak’ on fracking (From Impartial Reporter),1,neutral
10849,David Blaine Beyond Magic GREATEST TRICKS EXPOSED: via @user,David Blaine Beyond Magic GREATEST TRICKS EXPOSED: via @user,2,positive
10924,Russia: Zenit stadium will be finished ‘by the end of this year’ – Putin... via @user,Russia: Zenit stadium will be finished ‘by the end of this year’ – Putin... via @user,2,positive
11027,"RT @user These people are neo-Nazis and white supremacists. There is no ""alt-right.""","RT @user These people are neo-Nazis and white supremacists. There is no ""alt-right.""",0,negative
11093,@user Also gun control which leads to property confiscation & extemporaneousness execution & FEMA camps& extermination #Agenda21,@user Also gun control which leads to property confiscation & extemporaneousness execution & FEMA camps& extermination #Agenda21,0,negative
11296,"With a gun to my head, The Stranger Song might be my favourite Leonard Cohen song... only because it's emotional trajectory is so familiar","With a gun to my head, The Stranger Song might be my favourite Leonard Cohen song... only because it's emotional trajectory is so familiar",2,positive
11313,"the gop has spent the last 8 years blocking every possible move the obama admin could make, watering down laws for special interests(ie ACA)","the gop has spent the last 8 years blocking every possible move the obama admin could make, watering down laws for special interests(ie ACA)",0,negative
11532,That time @user arrived in #Russia and the FSB's Olga Kostina was waiting at the airport to facilitate his defec…,That time @user arrived in #Russia and the FSB's Olga Kostina was waiting at the airport to facilitate his defec…,0,negative
11850,@user @user @user We haven't forgotten. Still litigating multiple cases while Obama admin says courts don't have jurisdiction.,@user @user @user We haven't forgotten. Still litigating multiple cases while Obama admin says courts don't have jurisdiction.,0,negative
11871,@user so many deplorables..need a basket the size of Russia,@user so many deplorables..need a basket the size of Russia,1,neutral
11898,#Fracking Wastewater Is Ravaging North Dakota Farms #NoDAPL #DakotaAccessPipeline #INDIGENOUS,#Fracking Wastewater Is Ravaging North Dakota Farms #NoDAPL #DakotaAccessPipeline #INDIGENOUS,0,negative
12273,@user for al the crying you do about how middle America is left out-they have twice as much voting power,@user for al the crying you do about how middle America is left out-they have twice as much voting power,0,negative
